gamesPlayed,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,seasonId,shotAttempts,shotAttemptsAgainst,shotAttemptsAhead,shotAttemptsBehind,shotAttemptsClose,shotAttemptsFor,shotAttemptsRelPctg,shotAttemptsTied,unblockedShotAttempts,unblockedShotAttemptsAgainst,unblockedShotAttemptsAhead,unblockedShotAttemptsBehind,unblockedShotAttemptsClose,unblockedShotAttemptsFor,unblockedShotAttemptsRelPctg,unblockedShotAttemptsTied
15,Toronto,CAN,1993-06-17,ON,9.0,1.0,2011.0,Dougie,78,8476462,0,1,Hamilton,Dougie Hamilton,CAN,D,R,CAR,210,20182019,157,198,38,47,115,355,0.0458,72,114,153,32,35,81,267,0.0276,47
15,Denver,USA,1994-05-01,CO,120.0,4.0,2012.0,Jaccob,75,8476958,0,1,Slavin,Jaccob Slavin,USA,D,L,CAR,205,20182019,152,203,32,49,104,355,0.0364,71,112,154,27,38,74,266,0.0237,47
15,Cobourg,CAN,1981-10-04,ON,28.0,1.0,2000.0,Justin,73,8468508,0,1,Williams,Justin Williams,CAN,R,R,CAR,188,20182019,135,136,32,54,92,271,0.0728,49,88,110,24,36,58,198,0.0336,28
15,Thunder Bay,CAN,1988-09-10,ON,2.0,1.0,2006.0,Jordan,76,8473533,0,1,Staal,Jordan Staal,CAN,C,L,CAR,220,20182019,127,145,23,49,94,272,0.0541,55,86,114,19,35,62,200,0.0254,32
15,Carp,CAN,1991-05-09,ON,12.0,1.0,2009.0,Calvin,73,8475177,0,1,de Haan,Calvin de Haan,CAN,D,L,CAR,198,20182019,121,176,11,64,54,297,0.0205,46,86,131,10,46,46,217,0.0065,30
15,South St.Paul,USA,1992-03-20,MN,37.0,2.0,2010.0,Justin,72,8475753,0,1,Faulk,Justin Faulk,USA,D,R,CAR,215,20182019,119,163,9,64,48,282,0.0284,46,93,118,9,51,43,211,0.0323,33
15,Landsbro,SWE,1990-05-31,,15.0,1.0,2008.0,Erik,72,8474578,0,1,Karlsson,Erik Karlsson,SWE,D,R,SJS,190,20182019,112,213,43,29,75,325,0.0416,40,69,166,32,13,48,235,0.0121,24
15,Umea,SWE,1995-09-05,,97.0,4.0,2014.0,Lucas,72,8478027,0,1,Wallmark,Lucas Wallmark,SWE,C,L,CAR,176,20182019,112,123,14,51,71,235,0.0566,47,97,86,13,41,68,183,0.0824,43
15,Markham,CAN,1996-04-01,ON,67.0,3.0,2014.0,Warren,74,8477998,0,1,Foegele,Warren Foegele,CAN,L,L,CAR,190,20182019,110,146,22,37,85,256,0.0316,51,61,119,16,21,45,180,-0.0242,24
15,Ilava,SVK,1990-12-01,,60.0,2.0,2009.0,Tomas,70,8475193,0,1,Tatar,Tomas Tatar,SVK,L,L,MTL,182,20182019,109,143,32,49,72,252,0.1427,28,75,105,26,30,49,180,0.1444,19
